date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:22	1491/1491	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Oct%202025%2022:26:24%20GMT	https://proyectooficial-j892d73v9-truenojf10-gmailcoms-projects.vercel.app/robots.txt		(from )
16:26:23	224676/224676	---MCZ	200	added ('OK')	text/html	etag:W/%22d02fc88cb59d316521bfc7ff95b32fc1%22	https://proyectooficial-j892d73v9-truenojf10-gmailcoms-projects.vercel.app/	C:/My%20Web%20Sites/puntorestaurado/proyectooficial-j892d73v9-truenojf10-gmailcoms-projects.vercel.app/index.html	(from )
16:26:24	224676/224676	---MCZ	200	added ('OK')	text/html	etag:W/%22d02fc88cb59d316521bfc7ff95b32fc1%22	https://proyectooficial-j892d73v9-truenojf10-gmailcoms-projects.vercel.app/index.html	C:/My%20Web%20Sites/puntorestaurado/proyectooficial-j892d73v9-truenojf10-gmailcoms-projects.vercel.app/index-2.html	(from https://proyectooficial-j892d73v9-truenojf10-gmailcoms-projects.vercel.app/)
16:26:27	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	https://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/My%20Web%20Sites/puntorestaurado/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://proyectooficial-j892d73v9-truenojf10-gmailcoms-projects.vercel.app/)
16:26:28	546233/546233	---M--	200	added ('OK')	image/jpeg	etag:CKbPhtSiiYgDEAE=	https://images.squarespace-cdn.com/content/56aa9020d51cd471ca1987f8/1724352766418-PQ9YVYRP1KHQDOKN4483/Hallie+Marceaux+343a3.jpg?format=1500w	C:/My%20Web%20Sites/puntorestaurado/images.squarespace-cdn.com/content/56aa9020d51cd471ca1987f8/1724352766418-PQ9YVYRP1KHQDOKN4483/Hallie+Marceaux+343a326f7.jpg	(from https://proyectooficial-j892d73v9-truenojf10-gmailcoms-projects.vercel.app/)
16:26:28	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	https://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/My%20Web%20Sites/puntorestaurado/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://proyectooficial-j892d73v9-truenojf10-gmailcoms-projects.vercel.app/)
16:26:28	44085/44085	---M-Z	200	added ('OK')	text/javascript	etag:%2278f9c0311dfee83f2b0faad325b8d3b7%22	https://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-1ab684412c892b04-min.en-US.js	C:/My%20Web%20Sites/puntorestaurado/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-1ab684412c892b04-min.en-US.js	(from https://proyectooficial-j892d73v9-truenojf10-gmailcoms-projects.vercel.app/)
16:26:28	857780/857780	---M-Z	200	added ('OK')	text/javascript	etag:%2295e588ae39cdec31508f47e3cc14a6d4%22	https://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f2a1f6ec9a41489-min.en-US.js	C:/My%20Web%20Sites/puntorestaurado/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f2a1f6ec9a41489-min.en-US.js	(from https://proyectooficial-j892d73v9-truenojf10-gmailcoms-projects.vercel.app/)
16:26:28	91514/91514	---M-Z	200	added ('OK')	text/javascript	etag:%2272b00f074b6cfeb6696a436073ce428b%22	https://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-c5175d8ac6fd7505-min.en-US.js	C:/My%20Web%20Sites/puntorestaurado/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-c5175d8ac6fd7505-min.en-US.js	(from https://proyectooficial-j892d73v9-truenojf10-gmailcoms-projects.vercel.app/)
16:26:29	245912/245912	---M-Z	200	added ('OK')	text/javascript	etag:%2271fa227a435b24aec95da4f5e620f00f%22	https://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-fbd854d40b0804b7-min.en-US.js	C:/My%20Web%20Sites/puntorestaurado/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-fbd854d40b0804b7-min.en-US.js	(from https://proyectooficial-j892d73v9-truenojf10-gmailcoms-projects.vercel.app/)
16:26:29	728191/728191	---M-Z	200	added ('OK')	text/javascript	etag:%226c48a97e0ebf18bd29fede7d44b561c4%22	https://assets.squarespace.com/universal/scripts-compressed/common-vendors-5be3aa453febca8a-min.en-US.js	C:/My%20Web%20Sites/puntorestaurado/assets.squarespace.com/universal/scripts-compressed/common-vendors-5be3aa453febca8a-min.en-US.js	(from https://proyectooficial-j892d73v9-truenojf10-gmailcoms-projects.vercel.app/)
16:26:29	1450207/1450207	---M-Z	200	added ('OK')	text/javascript	etag:%22b4b982f2cbe9e6656c5fde77810e3847%22	https://assets.squarespace.com/universal/scripts-compressed/common-aed56a79a0182d3f-min.en-US.js	C:/My%20Web%20Sites/puntorestaurado/assets.squarespace.com/universal/scripts-compressed/common-aed56a79a0182d3f-min.en-US.js	(from https://proyectooficial-j892d73v9-truenojf10-gmailcoms-projects.vercel.app/)
16:26:29	1247702/1247702	---M-Z	200	added ('OK')	text/javascript	etag:%221c73911eb82ae4d63c640c6aa43595ff%22	https://assets.squarespace.com/universal/scripts-compressed/commerce-d76d3ebe3701003d-min.en-US.js	C:/My%20Web%20Sites/puntorestaurado/assets.squarespace.com/universal/scripts-compressed/commerce-d76d3ebe3701003d-min.en-US.js	(from https://proyectooficial-j892d73v9-truenojf10-gmailcoms-projects.vercel.app/)
16:26:30	32013/32013	---M-Z	200	added ('OK')	text/css	etag:%22d3e522c0fe870f6b9960b34aa045e18f%22	https://assets.squarespace.com/universal/styles-compressed/commerce-2bd20f6587654ec4-min.en-US.css	C:/My%20Web%20Sites/puntorestaurado/assets.squarespace.com/universal/styles-compressed/commerce-2bd20f6587654ec4-min.en-US.css	(from https://proyectooficial-j892d73v9-truenojf10-gmailcoms-projects.vercel.app/)
16:26:30	2301/2301	---M-Z	200	added ('OK')	text/css	etag:%22ea4d6f97f8c773fc5b639074d275c7a6%22	https://assets.squarespace.com/universal/styles-compressed/user-account-core-fe5c190ea7c4282d-min.en-US.css	C:/My%20Web%20Sites/puntorestaurado/assets.squarespace.com/universal/styles-compressed/user-account-core-fe5c190ea7c4282d-min.en-US.css	(from https://proyectooficial-j892d73v9-truenojf10-gmailcoms-projects.vercel.app/)
16:26:30	105940/105940	---M-Z	200	added ('OK')	text/javascript	etag:%221fc73ec6912b449cd840aca9ba417b9d%22	https://assets.squarespace.com/universal/scripts-compressed/user-account-core-02e58e1e0ca42064-min.en-US.js	C:/My%20Web%20Sites/puntorestaurado/assets.squarespace.com/universal/scripts-compressed/user-account-core-02e58e1e0ca42064-min.en-US.js	(from https://proyectooficial-j892d73v9-truenojf10-gmailcoms-projects.vercel.app/)
16:26:30	29214/29214	---M-Z	200	added ('OK')	text/javascript	etag:%2227fffba7a2e9f64b847e86a49607dabc%22	https://assets.squarespace.com/universal/scripts-compressed/performance-367d26fb3b6fe35c-min.en-US.js	C:/My%20Web%20Sites/puntorestaurado/assets.squarespace.com/universal/scripts-compressed/performance-367d26fb3b6fe35c-min.en-US.js	(from https://proyectooficial-j892d73v9-truenojf10-gmailcoms-projects.vercel.app/)
16:26:31	1539521/1539521	---M-Z	200	added ('OK')	text/css	date:Thu,%2030%20Oct%202025%2022:26:32%20GMT	https://static1.squarespace.com/static/versioned-site-css/56aa9020d51cd471ca1987f8/263/5c5a519771c10ba3470d8101/66b104e6e457185d296d3c7e/1699/site.css	C:/My%20Web%20Sites/puntorestaurado/static1.squarespace.com/static/versioned-site-css/56aa9020d51cd471ca1987f8/263/5c5a519771c10ba3470d8101/66b104e6e457185d296d3c7e/1699/site.css	(from https://proyectooficial-j892d73v9-truenojf10-gmailcoms-projects.vercel.app/)
16:26:31	107/107	---M--	200	added ('OK')	text/css	etag:%22f35d738d9565e65328fa909f074ff6e4%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.spacer/04d19983-fe18-4d11-af03-4a144136feeb_275/website.components.spacer.styles.css	C:/My%20Web%20Sites/puntorestaurado/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.spacer/04d19983-fe18-4d11-af03-4a144136feeb_275/website.components.spacer.styles.css	(from https://proyectooficial-j892d73v9-truenojf10-gmailcoms-projects.vercel.app/)
16:26:32	969/969	---M--	200	added ('OK')	text/css	etag:%225b9a73aaa52e75b878fff4d388e54483%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.button/459c1b3d-b839-4cbb-9c5f-5b98a9bc9535_122/website.components.button.styles.css	C:/My%20Web%20Sites/puntorestaurado/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.button/459c1b3d-b839-4cbb-9c5f-5b98a9bc9535_122/website.components.button.styles.css	(from https://proyectooficial-j892d73v9-truenojf10-gmailcoms-projects.vercel.app/)
16:26:32	272/272	---M--	200	added ('OK')	application/javascript	etag:%224baeb45bb0baa921ac2668f21e048d4f%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.spacer/04d19983-fe18-4d11-af03-4a144136feeb_275/website.components.spacer.visitor.js	C:/My%20Web%20Sites/puntorestaurado/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.spacer/04d19983-fe18-4d11-af03-4a144136feeb_275/website.components.spacer.visitor.js	(from https://proyectooficial-j892d73v9-truenojf10-gmailcoms-projects.vercel.app/)
